sequence_id,pair_id,split,condition,association_min_mask_iou,association_max_centroid_distance_px,maximum_frame_gap,is_frozen_setting,raw_weed_detection_count,raw_weed_track_count,raw_weed_singleton_track_count,raw_weed_maximum_observations,locked_weed_detection_count,locked_weed_track_count,locked_weed_singleton_track_count,locked_weed_qualifying_track_count,track_tp,track_fp,track_fn,track_precision,track_recall,track_f1,track_f1_state
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,80.0,1,False,164,145,135,5,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,80.0,2,False,164,143,131,5,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,80.0,3,False,164,142,129,5,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,160.0,1,False,164,121,99,5,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,160.0,2,False,164,119,96,5,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,160.0,3,False,164,118,95,6,55,46,41,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,240.0,1,False,164,72,33,7,55,26,12,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,240.0,2,False,164,72,33,7,55,27,14,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,240.0,3,False,164,67,30,8,55,22,8,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,320.0,1,False,164,48,17,14,55,15,3,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,320.0,2,False,164,48,16,14,55,16,3,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,320.0,3,False,164,46,16,18,55,16,4,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,480.0,1,False,164,40,11,14,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
