sequence_id,pair_id,split,class_name,gt_track_id,left_frame,right_frame,frame_gap,centroid_distance_px,mask_iou,passes_frozen_association_geometry
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,0,1,1,59.56238211918343,0.05692640692640693,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,1,2,1,56.89339075633034,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,2,3,1,101.8236549827696,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,3,4,1,128.2767745909979,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,4,5,1,146.94046738811284,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,5,6,1,155.36065491088712,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,6,7,1,199.32205120496607,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,7,8,1,188.00943200605346,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,8,9,1,211.8765439866901,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,0,1,1,57.83161415116052,0.02675343456254519,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,1,2,1,55.88531873260933,0.02944015444015444,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,2,3,1,100.69521556527145,0.010501750291715286,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,3,4,1,126.6095120952276,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,4,5,1,144.92279769047755,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,5,6,1,152.73768624409848,0.0,True
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,6,7,1,194.651384992969,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,7,8,1,185.20129883627428,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,8,9,1,227.90480530122264,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,9,10,1,226.56788658586217,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,10,11,1,277.90482198831955,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,11,12,1,223.3056094956279,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,12,13,1,235.00920027125122,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,8,9,1,213.64260612009505,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,9,10,1,224.80731875132244,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,10,11,1,279.9333381847046,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,11,12,1,232.90258256010196,0.0,False
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,crop,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,12,13,1,261.28256867607035,0.0,False
