sequence_id,split,condition,frame_index,gt_track_id,gt_class,best_same_class_raw_iou,best_other_class_raw_iou,other_class_better,no_raw_overlap
degraded:fixture_calibration_0000,calibration,degraded,0,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.5096579259738858,0.5084038111551226,False,False
degraded:fixture_calibration_0000,calibration,degraded,0,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2808959156785244,True,False
degraded:fixture_calibration_0000,calibration,degraded,0,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.41565874730021596,0.4162110003216468,True,False
degraded:fixture_calibration_0000,calibration,degraded,0,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5840242137123306,True,False
degraded:fixture_calibration_0000,calibration,degraded,1,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.5255051884216275,0.5268003946070372,True,False
degraded:fixture_calibration_0000,calibration,degraded,1,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2703675147776921,True,False
degraded:fixture_calibration_0000,calibration,degraded,1,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.41093665403356794,0.40876070692833133,False,False
degraded:fixture_calibration_0000,calibration,degraded,1,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5977911904456145,True,False
degraded:fixture_calibration_0000,calibration,degraded,2,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.5108206556674523,0.5094077400042762,False,False
degraded:fixture_calibration_0000,calibration,degraded,2,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2701607798455501,True,False
degraded:fixture_calibration_0000,calibration,degraded,2,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.4167114166040167,0.41549673132568854,False,False
degraded:fixture_calibration_0000,calibration,degraded,2,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.6038140944683,True,False
degraded:fixture_calibration_0000,calibration,degraded,3,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.500053242466191,0.5006930376372748,True,False
degraded:fixture_calibration_0000,calibration,degraded,3,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2751933071365192,True,False
degraded:fixture_calibration_0000,calibration,degraded,3,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.4192167772309009,0.4192167772309009,False,False
degraded:fixture_calibration_0000,calibration,degraded,3,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5892521608417888,True,False
degraded:fixture_calibration_0000,calibration,degraded,3,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.3933274802458297,0.3373352855051244,False,False
degraded:fixture_calibration_0000,calibration,degraded,4,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.487509223147465,True,False
degraded:fixture_calibration_0000,calibration,degraded,4,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.26938057544917704,True,False
degraded:fixture_calibration_0000,calibration,degraded,4,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.41429628846357197,True,False
degraded:fixture_calibration_0000,calibration,degraded,4,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5907326236693801,True,False
degraded:fixture_calibration_0000,calibration,degraded,4,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.45822526861800666,0.45822526861800666,False,False
degraded:fixture_calibration_0000,calibration,degraded,5,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.4685047501032631,True,False
degraded:fixture_calibration_0000,calibration,degraded,5,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2725051440329218,True,False
degraded:fixture_calibration_0000,calibration,degraded,5,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.4008464953029834,True,False
degraded:fixture_calibration_0000,calibration,degraded,5,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.6016458788736017,True,False
degraded:fixture_calibration_0000,calibration,degraded,5,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.29483716426277967,0.24091121859884537,False,False
degraded:fixture_calibration_0000,calibration,degraded,6,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.4805054541527163,True,False
degraded:fixture_calibration_0000,calibration,degraded,6,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2726004818055027,True,False
degraded:fixture_calibration_0000,calibration,degraded,6,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.4129261976694001,True,False
degraded:fixture_calibration_0000,calibration,degraded,6,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5893106512631713,True,False
degraded:fixture_calibration_0000,calibration,degraded,6,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.3918305597579425,0.33991978871172845,False,False
degraded:fixture_calibration_0000,calibration,degraded,7,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.48082690659811483,True,False
degraded:fixture_calibration_0000,calibration,degraded,7,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.27973285384022606,True,False
degraded:fixture_calibration_0000,calibration,degraded,7,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.39891118701964134,True,False
degraded:fixture_calibration_0000,calibration,degraded,7,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5925067593665508,True,False
degraded:fixture_calibration_0000,calibration,degraded,7,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.47351982618142313,0.25969791416926397,False,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.4730290456431535,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.28948731227343344,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,crop,0.0,0.25865580448065173,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.4021727553520077,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5859030837004405,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:crop/sorghum_rows/000008,crop,0.0,0.5889695580180868,True,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.47110215053763443,0.2532763398938419,False,False
degraded:fixture_calibration_0000,calibration,degraded,8,calibration:fixture_calibration_0000:weed/broadleaf/000006,weed,0.0,0.0,False,True
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000000,crop,0.0,0.2813390313390313,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.2926419242208716,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,crop,0.0,0.2943888451591139,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000006,crop,0.0,0.5708123652048885,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5806493338507308,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:crop/sorghum_rows/000008,crop,0.0,0.5426104507737161,True,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.5050626165734079,0.2681136144633598,False,False
degraded:fixture_calibration_0000,calibration,degraded,9,calibration:fixture_calibration_0000:weed/broadleaf/000006,weed,0.8683127572016461,0.0,False,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.3101857623737689,True,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,crop,0.0,0.28293228875209847,True,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5520469296055917,True,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:crop/sorghum_rows/000008,crop,0.0,0.5544366118384245,True,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:weed/broadleaf/000000,weed,0.6379466793414855,0.43963341745251694,False,False
degraded:fixture_calibration_0000,calibration,degraded,10,calibration:fixture_calibration_0000:weed/broadleaf/000006,weed,0.7819679740078904,0.7213316892725031,False,False
degraded:fixture_calibration_0000,calibration,degraded,11,calibration:fixture_calibration_0000:crop/sorghum_rows/000001,crop,0.0,0.3128531922568234,True,False
degraded:fixture_calibration_0000,calibration,degraded,11,calibration:fixture_calibration_0000:crop/sorghum_rows/000002,crop,0.0,0.28656647929333484,True,False
degraded:fixture_calibration_0000,calibration,degraded,11,calibration:fixture_calibration_0000:crop/sorghum_rows/000007,crop,0.0,0.5334856318384033,True,False
degraded:fixture_calibration_0000,calibration,degraded,11,calibration:fixture_calibration_0000:crop/sorghum_rows/000008,crop,0.0,0.5605782469022488,True,False
