sequence_id,pair_id,split,condition,threshold,weed_detection_count,weed_predicted_track_count,weed_qualifying_track_count,eligible_gt_track_count,track_tp,track_fp,track_fn,track_precision,track_recall,track_f1,track_f1_state,weed_pixel_tp,weed_pixel_fp,weed_pixel_fn,weed_pixel_precision,weed_pixel_recall,weed_pixel_f1,crop_pixel_precision,crop_pixel_recall,crop_pixel_f1,weed_instance_precision,weed_instance_recall,weed_instance_f1,crop_instance_f1
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.05,164,119,12,0,0,12,0,0.0,,,undefined_missing_precision_or_recall_denominator,449403,632866,107443,0.41524149726177134,0.8070507824425425,0.5483483465162603,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.12195121951219512,0.5405405405405406,0.1990049751243781,0.03296703296703297
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,139,110,7,0,0,7,0,0.0,,,undefined_missing_precision_or_recall_denominator,411404,627955,145442,0.3958247342833419,0.7388110896010747,0.515477648547649,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.14388489208633093,0.5405405405405406,0.22727272727272727,0.03296703296703297
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,104,84,6,0,0,6,0,0.0,,,undefined_missing_precision_or_recall_denominator,356183,591007,200663,0.37604176564364067,0.6396436357628501,0.4736362693446168,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.15384615384615385,0.43243243243243246,0.22695035460992907,0.03296703296703297
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.5,89,74,5,0,0,5,0,0.0,,,undefined_missing_precision_or_recall_denominator,294723,574975,262123,0.3388797030693413,0.5292720069821818,0.4131986114693974,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.16853932584269662,0.40540540540540543,0.23809523809523808,0.03296703296703297
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.8,55,47,2,0,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator,135254,458825,421592,0.2276700573492751,0.24289300812073716,0.23503529769533202,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.09090909090909091,0.13513513513513514,0.10869565217391305,0.03296703296703297
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.95,3,3,0,0,0,0,0,,,,undefined_missing_precision_or_recall_denominator,0,28675,556846,0.0,0.0,0.0,0.12408292694645302,0.04917523986876955,0.07043601820765343,0.0,0.0,0.0,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,166,122,10,0,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator,443370,630850,113476,0.41273668336095026,0.7962165482018367,0.5436567251110623,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.12048192771084337,0.5405405405405406,0.19704433497536947,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,139,109,6,0,0,6,0,0.0,,,undefined_missing_precision_or_recall_denominator,410523,625294,146323,0.3963277297051506,0.7372289645611174,0.5155177209491273,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.14388489208633093,0.5405405405405406,0.22727272727272727,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.25,103,82,6,0,0,6,0,0.0,,,undefined_missing_precision_or_recall_denominator,353611,587671,203235,0.3756695655499627,0.6350247644770727,0.47207047728899,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.1553398058252427,0.43243243243243246,0.22857142857142856,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.5,88,72,5,0,0,5,0,0.0,,,undefined_missing_precision_or_recall_denominator,292212,571754,264634,0.338221642981321,0.5247626812440064,0.41133098538019097,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.17045454545454544,0.40540540540540543,0.23999999999999996,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.8,55,48,2,0,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator,135251,449049,421595,0.23147526955331166,0.2428876206347895,0.2370441643751106,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.09090909090909091,0.13513513513513514,0.10869565217391305,0.03296703296703297
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.95,3,3,0,0,0,0,0,,,,undefined_missing_precision_or_recall_denominator,0,28591,556846,0.0,0.0,0.0,0.12808597298619362,0.048861063667331193,0.07073774163536749,0.0,0.0,0.0,0.03296703296703297
